squadra,giocatore,ruolo,quotazione,partite_giocate,gol_fatti_subiti,assist,ammonizioni,espulsioni,rigori_tirati,rigori_realizzati,rigori_sbagliati,rigori_parati,media_voto,media_magic_voto,media_punti,yyss
spal,Zukanovic E.,D,6.0,3.0,,,1.0,,,,,,5.5,5.33,-0.5,2019-20
genoa,Goldaniga E.,D,7.0,11.0,1.0,,4.0,,,,,,5.77,6.0,2.5,2019-20
fiorentina,Kouame C.,A,19.0,18.0,6.0,1.0,1.0,,,,,,6.05,7.08,18.5,2019-20
genoa,Perin M.,P,7.0,21.0,,,1.0,,,,,,6.11,4.28,-38.4,2019-20
brescia,Spalek N.,T (C),11.0,24.0,2.0,1.0,5.0,,,,,,5.62,5.89,6.5,2019-20
sampdoria,Seculin A.,P,2.0,,,,,,,,,,,,,2019-20
bologna,Skov Olsen A.,T (A),11.0,20.0,1.0,,,,,,,,5.72,5.87,3.0,2019-20
sassuolo,Chiriches V.,D,8.0,8.0,,,,,,,,,5.87,5.87,,2019-20
atalanta,Zapata D.,A,42.0,28.0,18.0,6.0,1.0,,1.0,1.0,,,6.48,8.6,59.4,2019-20
lazio,Immobile C.,A,53.0,37.0,36.0,7.0,8.0,,15.0,14.0,1.0,,6.55,9.47,108.0,2019-20
parma,Adorante A.,A,1.0,,,,,,,,,,,,,2019-20
milan,Ibrahimovic Z.,A,40.0,18.0,10.0,3.0,1.0,,3.0,2.0,1.0,,6.52,8.16,29.5,2019-20
verona,Kumbulla M.,D,10.0,25.0,1.0,,5.0,1.0,,,,,6.16,6.2,1.0,2019-20
juventus,Rabiot A.,C,15.0,28.0,1.0,1.0,5.0,1.0,,,,,5.94,6.0,1.7,2019-20
sampdoria,Vieira R.,C,7.0,26.0,,1.0,10.0,1.0,,,,,5.88,5.69,-5.0,2019-20
napoli,Leandrinho -.,T (A),1.0,,,,,,,,,,,,,2019-20
cagliari,Pellegrini L.,D,9.0,24.0,,5.0,10.0,,,,,,5.75,5.75,,2019-20
sassuolo,Muldur M.,D,11.0,19.0,2.0,,4.0,,,,,,5.97,6.34,7.1,2019-20
roma,Villar G.,C,5.0,6.0,,,2.0,,,,,,5.83,5.66,-1.0,2019-20
fiorentina,Ribery F.,T (C),25.0,20.0,3.0,3.0,3.0,1.0,,,,,6.55,7.17,12.4,2019-20
verona,Salcedo E.,A,8.0,15.0,1.0,,,,,,,,6.03,6.23,3.0,2019-20
atalanta,Bellanova R.,D,2.0,1.0,,,,,,,,,6.0,6.0,,2019-20
brescia,Skrabb S.,T (A),8.0,7.0,,,,,,,,,5.31,5.31,,2019-20
fiorentina,Chiesa F.,T (C),32.0,34.0,10.0,5.0,7.0,,2.0,1.0,1.0,,6.08,7.22,38.8,2019-20
cagliari,Simeone G.,A,25.0,37.0,12.0,2.0,4.0,,,,,,5.97,6.94,35.9,2019-20
roma,Perotti D.,T (C),18.0,17.0,5.0,3.0,3.0,1.0,4.0,4.0,,,5.94,7.14,20.4,2019-20
juventus,Khedira S.,C,11.0,12.0,,1.0,3.0,,,,,,5.79,5.75,-0.5,2019-20
verona,Stepinski M.,A,15.0,13.0,3.0,1.0,3.0,1.0,,,,,5.73,6.3,7.4,2019-20
napoli,Ruiz F.,C,19.0,33.0,3.0,6.0,2.0,,,,,,5.9,6.42,17.2,2019-20
milan,Calabria D.,D,10.0,23.0,1.0,1.0,2.0,2.0,,,,,5.58,5.69,2.6,2019-20
parma,Alves B.,D,13.0,32.0,,,4.0,,,,,,6.0,5.93,-2.2,2019-20
genoa,Lerager L.,C,9.0,20.0,1.0,1.0,5.0,,,,,,5.67,5.8,2.6,2019-20
lazio,Luiz Felipe R.,D,10.0,25.0,1.0,1.0,6.0,,,,,,5.82,5.92,2.5,2019-20
brescia,Zmrhal J.,C,12.0,16.0,2.0,,,,,,,,5.58,6.05,8.0,2019-20
atalanta,Tameze A.,C,8.0,3.0,,,,,,,,,6.5,6.5,,2019-20
lazio,Lulic S.,C,14.0,20.0,,2.0,6.0,,,,,,5.95,5.9,-1.0,2019-20
torino,Ujkani S.,P,1.0,1.0,,,,,,,,,6.0,3.0,-3.0,2019-20
parma,Gagliolo R.,D,15.0,31.0,3.0,2.0,7.0,,,,,,6.04,6.43,12.1,2019-20
spal,Tunjov G.,C,1.0,4.0,,,,,,,,,5.25,5.25,,2019-20
udinese,Nestorovski I.,A,18.0,22.0,3.0,1.0,4.0,,,,,,5.84,6.2,7.9,2019-20
udinese,Zeegelaar M.,D,7.0,11.0,,1.0,3.0,,,,,,5.81,5.77,-0.4,2019-20
inter,Brozovic M.,C,18.0,32.0,3.0,4.0,9.0,,,,,,6.28,6.64,11.5,2019-20
cagliari,Birsa V.,T (C),9.0,10.0,,,1.0,,,,,,5.5,5.45,-0.5,2019-20
sampdoria,Leris M.,C,7.0,13.0,1.0,,,,,,,,5.8,6.11,4.0,2019-20
parma,Hernani A.,C,11.0,32.0,,4.0,10.0,,,,,,5.87,5.84,-0.9,2019-20
lecce,Falco F.,T (A),20.0,29.0,4.0,6.0,,,,,,,6.18,6.81,18.3,2019-20
cagliari,Ragatzu D.,A,6.0,7.0,1.0,,,,,,,,5.78,6.21,3.0,2019-20
udinese,Okaka S.,A,18.0,33.0,8.0,2.0,10.0,,,,,,5.86,6.5,21.1,2019-20
genoa,Jagiello F.,C,9.0,10.0,,2.0,,,,,,,5.8,6.0,2.0,2019-20
napoli,Allan M.,C,18.0,17.0,2.0,1.0,2.0,,,,,,5.85,6.32,7.9,2019-20
lazio,Correa C.,T (A),25.0,30.0,9.0,2.0,,,1.0,,1.0,,6.06,6.93,26.1,2019-20
parma,Kulusevski D.,C,30.0,36.0,10.0,8.0,3.0,,1.0,1.0,,,6.43,7.72,46.4,2019-20
juventus,Higuain G.,A,25.0,30.0,8.0,3.0,2.0,,,,,,6.08,6.95,26.1,2019-20
bologna,Skorupski L.,P,12.0,37.0,,,2.0,,,,,1.0,5.98,4.31,-61.8,2019-20
fiorentina,Milenkovic N.,D,19.0,37.0,5.0,,9.0,,,,,,6.02,6.51,18.2,2019-20
verona,Eysseric V.,T (C),6.0,6.0,,,3.0,,,,,,5.5,5.25,-1.5,2019-20
udinese,Teodorczyk L.,A,10.0,4.0,,,,,,,,,5.75,5.75,,2019-20
sampdoria,Ekdal A.,C,11.0,30.0,,2.0,8.0,,,,,,5.9,5.83,-2.1,2019-20
udinese,Walace -.,C,9.0,17.0,,,2.0,,,,,,5.94,5.88,-1.0,2019-20
sampdoria,Murru N.,D,6.0,27.0,,,4.0,1.0,,,,,5.46,5.27,-5.1,2019-20
bologna,Medel G.,C,10.0,23.0,,,10.0,1.0,,,,,6.13,5.86,-6.2,2019-20
fiorentina,Terracciano P.,P,9.0,7.0,,,,,,,,,6.64,5.92,-5.1,2019-20
napoli,Mertens D.,A,29.0,30.0,9.0,6.0,5.0,,,,,,6.16,7.14,30.3,2019-20
cagliari,Ionita A.,C,10.0,29.0,,2.0,6.0,,,,,,5.75,5.72,-0.9,2019-20
sassuolo,Raspadori G.,A,8.0,8.0,2.0,,,,,,,,6.25,7.0,6.0,2019-20
spal,Fares M.,D,9.0,8.0,,,2.0,,,,,,5.75,5.62,-1.0,2019-20
brescia,Papetti A.,D,5.0,10.0,1.0,,5.0,,,,,,5.75,5.95,2.0,2019-20
roma,Diawara A.,C,13.0,21.0,1.0,,4.0,,1.0,1.0,,,6.04,6.14,2.1,2019-20
lecce,Vera B.,D,5.0,4.0,,1.0,,,,,,,5.25,5.5,1.0,2019-20
inter,Godin D.,D,17.0,21.0,1.0,1.0,5.0,,,,,,5.9,6.04,2.9,2019-20
brescia,Ndoj E.,C,6.0,14.0,,,2.0,,,,,,5.46,5.4,-0.9,2019-20
bologna,Dominguez N.,C,11.0,13.0,,1.0,1.0,,,,,,6.03,6.07,0.6,2019-20
verona,Empereur A.,D,5.0,11.0,,,3.0,,,,,,5.95,5.81,-1.6,2019-20
napoli,Maksimovic N.,D,11.0,22.0,1.0,1.0,2.0,,,,,,5.9,6.11,4.6,2019-20
sampdoria,Augello T.,D,8.0,15.0,,1.0,2.0,,,,,,6.0,6.06,1.0,2019-20
genoa,Radovanovic I.,C,8.0,16.0,,,3.0,,,,,,5.81,5.71,-1.6,2019-20
sassuolo,Pegolo G.,P,6.0,5.0,,,,,,,,,6.7,5.9,-4.0,2019-20
milan,Castillejo S.,T (C),16.0,18.0,2.0,3.0,3.0,,,,,,6.13,6.66,9.6,2019-20
napoli,Karnezis O.,P,1.0,,,,,,,,,,,,,2019-20
juventus,Bentancur R.,C,14.0,29.0,,7.0,9.0,,,,,,6.06,6.15,2.7,2019-20
spal,Berisha E.,P,14.0,26.0,,,2.0,,,,,,6.44,4.71,-44.9,2019-20
udinese,Lasagna K.,A,24.0,36.0,10.0,1.0,1.0,,,,,,6.01,6.86,30.6,2019-20
genoa,Destro M.,A,10.0,8.0,,,1.0,,,,,,5.33,5.27,-0.6,2019-20
bologna,Mbaye I.,D,8.0,19.0,,2.0,5.0,,,,,,5.71,5.68,-0.6,2019-20
roma,Veretout J.,C,25.0,32.0,6.0,,6.0,,5.0,5.0,,,6.21,6.87,21.1,2019-20
torino,Rincon T.,C,12.0,31.0,1.0,1.0,11.0,,,,,,5.93,5.91,-0.6,2019-20
verona,Verre V.,C,17.0,29.0,3.0,2.0,4.0,,2.0,2.0,,,6.03,6.44,11.9,2019-20
verona,Lovato M.,D,1.0,,,,,,,,,,,,,2019-20
parma,Laurini V.,D,8.0,13.0,,2.0,4.0,,,,,,6.11,6.11,,2019-20
lecce,Rispoli A.,D,6.0,25.0,,,6.0,,,,,,5.58,5.46,-3.0,2019-20
sampdoria,Gabbiadini M.,T (A),25.0,31.0,11.0,1.0,2.0,,1.0,1.0,,,6.04,7.11,33.2,2019-20
milan,Krunic R.,C,13.0,10.0,,1.0,3.0,,,,,,6.0,5.95,-0.5,2019-20
roma,Zaniolo N.,T (C),27.0,25.0,6.0,2.0,8.0,,,,,,6.44,7.32,22.0,2019-20
sampdoria,Depaoli F.,D,7.0,27.0,,1.0,6.0,,,,,,5.81,5.74,-1.9,2019-20
parma,Scozzarella M.,C,11.0,14.0,,2.0,2.0,,,,,,6.28,6.35,1.0,2019-20
cagliari,Ceppitelli L.,D,12.0,15.0,2.0,,5.0,,,,,,6.0,6.3,4.5,2019-20
sassuolo,Kyriakopoulos G.,D,9.0,23.0,,1.0,4.0,,,,,,6.02,5.97,-1.2,2019-20
lazio,Radu S.,D,9.0,29.0,1.0,,8.0,,,,,,5.87,5.89,0.6,2019-20
lazio,Lukaku J.,D,7.0,12.0,,2.0,2.0,,,,,,5.91,6.0,1.1,2019-20
genoa,Masiello A.,D,9.0,22.0,,1.0,5.0,,,,,,5.84,5.77,-1.6,2019-20
torino,Lukic S.,C,11.0,25.0,1.0,1.0,5.0,1.0,,,,,5.84,5.9,1.5,2019-20
torino,Djidji K.,D,4.0,13.0,,,1.0,,,,,,5.3,5.11,-2.5,2019-20
napoli,Meret A.,P,17.0,22.0,,,,,,,,1.0,6.13,4.77,-30.0,2019-20
verona,Dimarco F.,D,6.0,9.0,,2.0,1.0,,,,,,5.94,5.88,-0.6,2019-20
torino,Zaza S.,A,15.0,22.0,6.0,1.0,7.0,,,,,,5.75,6.45,15.4,2019-20
genoa,Ichazo S.,P,1.0,,,,,,,,,,,,,2019-20
sassuolo,Traore H.,C,17.0,28.0,4.0,,3.0,,,,,,6.05,6.57,14.6,2019-20
torino,Singo W.,D,4.0,3.0,1.0,,,,,,,,5.83,7.33,4.5,2019-20
roma,Spinazzola L.,D,16.0,22.0,1.0,2.0,2.0,,,,,,6.13,6.38,5.5,2019-20
inter,Gagliardini R.,C,16.0,24.0,4.0,,5.0,,,,,,5.97,6.54,13.7,2019-20
lecce,Shakhov E.,C,12.0,21.0,1.0,2.0,3.0,,,,,,5.71,5.92,4.4,2019-20
inter,Ranocchia A.,D,6.0,7.0,,,3.0,,,,,,6.07,5.85,-1.5,2019-20
lazio,Vavro D.,D,9.0,9.0,,,,,,,,,5.72,5.72,,2019-20
juventus,De Sciglio M.,D,11.0,6.0,,,1.0,,,,,,6.0,5.91,-0.5,2019-20
lazio,Anderson A.,T (C),3.0,3.0,,,,,,,,,5.5,5.5,,2019-20
juventus,Szczesny W.,P,22.0,29.0,,,1.0,,,,,1.0,6.36,5.31,-30.4,2019-20
brescia,Bjarnason B.,T (C),7.0,12.0,,,1.0,,,,,,5.5,5.45,-0.6,2019-20
fiorentina,Pezzella G.,D,15.0,32.0,3.0,,12.0,,,,,,5.96,6.2,7.7,2019-20
spal,Missiroli S.,C,9.0,34.0,1.0,,7.0,,,,,,5.72,5.73,0.3,2019-20
cagliari,Oliva C.,C,10.0,10.0,1.0,1.0,1.0,,,,,,6.15,6.6,4.5,2019-20
atalanta,Gollini P.,P,19.0,33.0,,,3.0,,,,,,6.27,4.95,-43.5,2019-20
juventus,De Ligt M.,D,24.0,28.0,4.0,,5.0,,,,,,6.12,6.67,15.4,2019-20
fiorentina,Igor Julio d.,D,6.0,25.0,,1.0,9.0,,,,,,5.61,5.48,-3.4,2019-20
atalanta,Muriel L.,A,32.0,31.0,18.0,1.0,1.0,,7.0,6.0,1.0,,6.16,7.82,51.4,2019-20
torino,Baselli D.,C,14.0,16.0,,2.0,3.0,,,,,,5.84,5.87,0.5,2019-20
bologna,Tomiyasu T.,D,13.0,29.0,1.0,2.0,8.0,,,,,,6.05,6.13,2.3,2019-20
brescia,Viviani M.,C,1.0,5.0,,,,,,,,,5.5,5.5,,2019-20
atalanta,Sutalo B.,D,4.0,4.0,,,1.0,,,,,,6.0,5.87,-0.5,2019-20
roma,Riccardi A.,C,1.0,,,,,,,,,,,,,2019-20
napoli,Milik A.,A,29.0,26.0,11.0,,5.0,,,,,,6.05,7.23,30.7,2019-20
sassuolo,Berardi D.,T (A),34.0,31.0,14.0,7.0,6.0,1.0,3.0,2.0,1.0,,6.56,7.91,41.8,2019-20
atalanta,Toloi R.,D,18.0,30.0,2.0,4.0,10.0,,,,,,6.23,6.5,8.1,2019-20
bologna,Orsolini R.,T (A),22.0,37.0,8.0,6.0,3.0,,,,,,5.95,6.72,28.4,2019-20
juventus,Buffon G.,P,9.0,9.0,,,,,,,,,6.22,5.11,-10.0,2019-20
sassuolo,Consigli A.,P,13.0,31.0,,,1.0,,,,,1.0,6.11,4.41,-52.7,2019-20
verona,Di Carmine S.,A,19.0,21.0,8.0,,3.0,,2.0,1.0,1.0,,5.9,6.83,19.5,2019-20
milan,Donnarumma A.,P,1.0,,,,,,,,,,,,,2019-20
napoli,Lozano H.,T (A),22.0,21.0,4.0,1.0,3.0,,,,,,5.85,6.4,11.5,2019-20
inter,Martinez L.,A,26.0,35.0,14.0,3.0,7.0,1.0,3.0,2.0,1.0,,6.11,7.18,37.4,2019-20
brescia,Balotelli M.,A,23.0,19.0,5.0,,5.0,1.0,,,,,5.97,6.57,11.4,2019-20
sampdoria,Maroni G.,T (C),8.0,4.0,,1.0,,,1.0,,1.0,,5.87,5.37,-2.0,2019-20
fiorentina,Vlahovic D.,A,13.0,27.0,6.0,,4.0,1.0,1.0,1.0,,,5.83,6.38,14.9,2019-20
sassuolo,Locatelli M.,C,17.0,33.0,,4.0,9.0,,,,,,6.42,6.34,-2.7,2019-20
spal,Valoti M.,C,12.0,24.0,3.0,1.0,7.0,,,,,,5.81,6.2,9.4,2019-20
genoa,Cassata F.,C,7.0,21.0,2.0,,8.0,2.0,,,,,5.66,5.76,2.1,2019-20
lazio,Leiva L.,C,11.0,25.0,,1.0,8.0,1.0,,,,,6.0,5.84,-4.0,2019-20
bologna,Breza S.,P,1.0,,,,,,,,,,,,,2019-20
torino,Aina O.,D,7.0,29.0,,1.0,8.0,,,,,,5.65,5.55,-3.0,2019-20
torino,Belotti A.,A,34.0,35.0,16.0,3.0,4.0,,8.0,7.0,1.0,,6.28,7.54,44.1,2019-20
verona,Amrabat S.,C,16.0,34.0,1.0,1.0,10.0,2.0,1.0,1.0,,,6.51,6.45,-2.0,2019-20
brescia,Cistana A.,D,7.0,21.0,1.0,,5.0,1.0,,,,,5.76,5.8,0.8,2019-20
roma,Kalinic N.,A,20.0,10.0,5.0,1.0,,,,,,,5.75,7.35,16.0,2019-20
napoli,Insigne L.,T (A),24.0,37.0,8.0,4.0,1.0,,5.0,5.0,,,5.93,6.67,27.4,2019-20
juventus,Pjanic M.,C,17.0,29.0,3.0,4.0,10.0,,,,,,5.93,6.31,11.0,2019-20
parma,Inglese R.,A,19.0,15.0,4.0,,1.0,,1.0,,1.0,,5.76,6.33,8.6,2019-20
brescia,Gastaldello D.,D,6.0,7.0,,,1.0,,,,,,5.71,5.64,-0.5,2019-20
milan,Saelemaekers A.,C,12.0,11.0,1.0,,2.0,1.0,,,,,6.18,6.36,2.0,2019-20
atalanta,Czyborra L.,D,5.0,1.0,,,,,,,,,6.0,6.0,,2019-20
parma,Cornelius A.,A,26.0,22.0,12.0,1.0,1.0,,,,,,6.23,7.82,36.6,2019-20
lazio,Guerrieri G.,P,1.0,,,,,,,,,,,,,2019-20
sassuolo,Haraslin L.,T (A),8.0,9.0,1.0,,1.0,,,,,,6.11,6.38,2.4,2019-20
parma,Iacoponi S.,D,12.0,35.0,2.0,,7.0,,,,,,5.95,6.11,5.6,2019-20
napoli,Manolas K.,D,20.0,25.0,4.0,,2.0,,,,,,5.86,6.54,17.0,2019-20
roma,Mancini G.,D,12.0,32.0,1.0,1.0,14.0,1.0,,,,,6.0,5.92,-2.6,2019-20
inter,Moses V.,C,15.0,10.0,,3.0,1.0,,,,,,6.25,6.5,2.5,2019-20
inter,Barella N.,C,16.0,27.0,1.0,3.0,11.0,,,,,,6.14,6.2,1.6,2019-20
sampdoria,Audero E.,P,13.0,36.0,,,1.0,,,,,,6.06,4.36,-61.2,2019-20
cagliari,Cragno A.,P,20.0,16.0,,,1.0,,,,,1.0,6.53,5.37,-18.6,2019-20
brescia,Joronen J.,P,11.0,29.0,,,1.0,,,,,1.0,6.17,4.22,-56.5,2019-20
parma,Sepe L.,P,17.0,34.0,,,1.0,,,,,3.0,6.32,5.01,-44.6,2019-20
sampdoria,Jankto J.,C,14.0,29.0,2.0,4.0,8.0,,,,,,5.83,6.1,8.1,2019-20
fiorentina,Brancolini F.,P,1.0,,,,,,,,,,,,,2019-20
cagliari,Pavoletti L.,A,25.0,1.0,,,,,,,,,5.0,5.0,,2019-20
fiorentina,Duncan A.,C,14.0,24.0,2.0,3.0,5.0,,,,,,5.91,6.27,8.7,2019-20
lazio,Bobby A.,T (A),4.0,5.0,1.0,,1.0,,,,,,6.1,6.6,2.5,2019-20
milan,Conti A.,D,9.0,21.0,,2.0,8.0,,,,,,5.69,5.59,-2.1,2019-20
genoa,Cleonise D.,T (A),1.0,,,,,,,,,,,,,2019-20
brescia,Aye F.,A,7.0,21.0,,,2.0,1.0,,,,,5.3,5.21,-1.9,2019-20
udinese,Gasparini M.,P,1.0,,,,,,,,,,,,,2019-20
atalanta,De Roon M.,C,18.0,34.0,2.0,4.0,12.0,,,,,,6.29,6.41,4.0,2019-20
sampdoria,Bereszynski B.,D,5.0,28.0,,,10.0,,,,,,5.58,5.33,-7.0,2019-20
sassuolo,Magnanelli F.,C,10.0,17.0,,,5.0,,,,,,6.2,6.05,-2.5,2019-20
bologna,Bani M.,D,11.0,27.0,4.0,,11.0,1.0,,,,,5.74,6.16,11.3,2019-20
bologna,Krejci L.,C,7.0,14.0,1.0,,1.0,,,,,,5.71,5.96,3.5,2019-20
verona,Silvestri M.,P,16.0,35.0,,,2.0,,,,,,6.22,4.97,-43.7,2019-20
genoa,Sanabria A.,A,16.0,23.0,6.0,2.0,3.0,,,,,,5.93,6.73,18.4,2019-20
cagliari,Klavan R.,D,8.0,27.0,,,4.0,,,,,,5.87,5.72,-4.1,2019-20
fiorentina,Badelj M.,C,10.0,20.0,1.0,,1.0,1.0,,,,,5.55,5.67,2.4,2019-20
bologna,Juwara M.,T (A),4.0,4.0,1.0,,1.0,,,,,,6.5,7.12,2.5,2019-20
verona,Adjapong C.,D,6.0,4.0,,,,,,,,,5.5,5.5,,2019-20
roma,Kolarov A.,D,23.0,31.0,7.0,3.0,5.0,,4.0,2.0,2.0,,6.01,6.85,26.1,2019-20
roma,Juan Jesus G.,D,4.0,3.0,,,2.0,,,,,,5.16,4.83,-1.0,2019-20
sampdoria,Quagliarella F.,A,31.0,28.0,11.0,3.0,2.0,,7.0,5.0,2.0,,5.94,6.98,29.1,2019-20
juventus,Douglas Costa d.,T (C),20.0,18.0,1.0,4.0,1.0,,,,,,6.19,6.61,7.6,2019-20
inter,Agoume L.,C,1.0,2.0,,,1.0,,,,,,5.75,5.5,-0.5,2019-20
fiorentina,Sottil R.,T (A),4.0,10.0,,,2.0,,,,,,5.54,5.45,-0.9,2019-20
udinese,De Paul R.,T (C),28.0,34.0,7.0,5.0,5.0,1.0,,,,,6.16,7.02,29.3,2019-20
sampdoria,Yoshida M.,D,10.0,14.0,,1.0,1.0,,,,,,6.0,6.03,0.4,2019-20
verona,Lazovic D.,C,20.0,38.0,3.0,7.0,4.0,,,,,,6.25,6.69,16.7,2019-20
torino,Izzo A.,D,13.0,31.0,1.0,,5.0,2.0,,,,,5.98,5.98,,2019-20
sassuolo,Turati S.,P,1.0,2.0,,,,,,,,,6.25,4.25,-4.0,2019-20
parma,Sprocati M.,T (A),9.0,14.0,1.0,,,,,,,,5.75,5.96,2.9,2019-20
atalanta,Gomez A.,T (C),34.0,36.0,7.0,12.0,2.0,,,,,,6.69,7.77,38.9,2019-20
genoa,Zapata C.,D,8.0,19.0,1.0,,4.0,,,,,,5.71,5.73,0.4,2019-20
inter,De Vrij S.,D,24.0,34.0,4.0,1.0,5.0,,,,,,6.35,6.83,16.3,2019-20
inter,Borja Valero I.,C,13.0,14.0,2.0,,3.0,,,,,,6.21,6.67,6.5,2019-20
juventus,Bernardeschi F.,T (C),13.0,24.0,1.0,1.0,5.0,,,,,,5.54,5.64,2.4,2019-20
genoa,Ankersen P.,D,5.0,17.0,,1.0,2.0,,,,,,5.5,5.5,,2019-20
torino,Rosati A.,P,1.0,1.0,,,,,,,,,6.0,5.0,-1.0,2019-20
udinese,Mandragora R.,C,12.0,25.0,,2.0,2.0,,,,,,5.9,5.94,1.0,2019-20
genoa,Biraschi D.,D,8.0,23.0,,,3.0,1.0,,,,,5.86,5.67,-4.4,2019-20
lazio,Anderson D.,C,4.0,2.0,,,1.0,,,,,,5.83,5.66,-0.5,2019-20
milan,Begovic A.,P,2.0,2.0,,,,,,,,,6.5,5.0,-3.0,2019-20
spal,Valdifiori M.,C,7.0,20.0,,3.0,5.0,,,,,,5.77,5.8,0.6,2019-20
verona,Gunter K.,D,8.0,31.0,,,7.0,,,,,,5.79,5.67,-3.7,2019-20
sampdoria,Askildsen K.,D,4.0,3.0,1.0,,,1.0,,,,,6.0,7.16,3.5,2019-20
genoa,Romero C.,D,10.0,30.0,1.0,1.0,13.0,1.0,,,,,5.93,5.86,-2.1,2019-20
roma,Lopez P.,P,16.0,32.0,,,3.0,,,,,1.0,6.09,4.73,-43.5,2019-20
lecce,Meccariello B.,D,5.0,12.0,1.0,,1.0,,,,,,5.62,5.95,4.0,2019-20
inter,Bastoni A.,D,11.0,25.0,2.0,,7.0,1.0,,,,,5.98,6.16,4.5,2019-20
torino,Nkoulou N.,D,12.0,30.0,1.0,,3.0,1.0,,,,,5.93,6.0,2.1,2019-20
atalanta,Caldara M.,D,9.0,13.0,,1.0,1.0,,,,,,6.03,6.07,0.5,2019-20
parma,Darmian M.,D,13.0,32.0,1.0,1.0,6.0,,,,,,5.95,6.03,2.6,2019-20
atalanta,Piccoli R.,A,3.0,,,,,,,,,,5.5,5.5,,2019-20
inter,Padelli D.,P,2.0,3.0,,,,,,,,,5.33,4.0,-4.0,2019-20
udinese,Jajalo M.,C,8.0,24.0,,,6.0,1.0,,,,,5.85,5.68,-4.1,2019-20
milan,Laxalt D.,D,8.0,15.0,,1.0,3.0,,,,,,5.8,5.76,-0.6,2019-20
napoli,Callejon J.,T (C),22.0,32.0,4.0,7.0,2.0,,,,,,5.92,6.6,21.8,2019-20
napoli,Demme D.,C,10.0,14.0,1.0,,6.0,,,,,,6.0,6.07,1.0,2019-20
atalanta,Sportiello M.,P,6.0,6.0,,,,,,,,,6.0,5.16,-5.0,2019-20
udinese,Rodrigo Becao N.,D,10.0,28.0,1.0,,8.0,,,,,,5.85,5.87,0.6,2019-20
udinese,Ter Avest H.,D,6.0,13.0,,,1.0,,,,,,5.73,5.69,-0.5,2019-20
bologna,Corbo G.,D,1.0,2.0,,,1.0,,,,,,5.25,5.0,-0.5,2019-20
milan,Donnarumma G.,P,25.0,36.0,,,3.0,,,,,4.0,6.29,5.41,-31.6,2019-20
lecce,Paz N.,D,4.0,13.0,,1.0,5.0,,,,,,5.61,5.5,-1.4,2019-20
fiorentina,Terzic A.,D,3.0,,,,,,,,,,,,,2019-20
lecce,Lucioni F.,D,12.0,36.0,3.0,,8.0,1.0,,,,,5.69,5.87,6.5,2019-20
genoa,Zennaro M.,C,1.0,,,,,,,,,,,,,2019-20
genoa,Pajac M.,D,7.0,10.0,,,1.0,,,,,,5.6,5.55,-0.5,2019-20
cagliari,Nandez N.,C,17.0,35.0,2.0,3.0,14.0,,,,,,6.25,6.37,4.2,2019-20
torino,Verdi S.,T (C),17.0,32.0,2.0,6.0,4.0,,,,,,5.76,6.14,12.2,2019-20
parma,Karamoh Y.,T (A),12.0,12.0,1.0,1.0,,,,,,,5.62,5.95,4.0,2019-20
juventus,Rugani D.,D,6.0,8.0,,,2.0,,,,,,5.43,5.31,-0.9,2019-20
milan,Duarte L.,D,7.0,5.0,,,2.0,,,,,,5.6,5.4,-1.0,2019-20
spal,Thiam D.,P,2.0,2.0,,,,,,,,,6.0,4.0,-4.0,2019-20
spal,Vicari F.,D,5.0,33.0,,,4.0,,,,,,5.63,5.45,-5.9,2019-20
parma,Dermaku K.,D,7.0,14.0,,,2.0,,,,,,6.07,6.0,-1.0,2019-20
cagliari,Paloschi A.,A,7.0,13.0,,,,,,,,,5.23,5.23,,2019-20
cagliari,Rafael D.,P,4.0,6.0,,,,,,,,,6.08,4.25,-11.0,2019-20
verona,Berardi A.,P,1.0,,,,,,,,,,,,,2019-20
lecce,Gabriel V.,P,10.0,34.0,,,4.0,,,,,2.0,6.07,3.92,-73.1,2019-20
brescia,Donnarumma A.,A,21.0,25.0,7.0,2.0,1.0,,2.0,2.0,,,5.78,6.68,22.5,2019-20
inter,Dambrosio D.,D,16.0,18.0,4.0,,6.0,,,,,,6.05,6.88,14.9,2019-20
napoli,Hysaj E.,D,12.0,19.0,1.0,2.0,3.0,,,,,,5.97,6.23,5.0,2019-20
juventus,Ramsey A.,T (C),19.0,21.0,3.0,,1.0,,,,,,6.02,6.57,11.6,2019-20
inter,Skriniar M.,D,12.0,31.0,,,7.0,1.0,,,,,5.93,5.73,-6.4,2019-20
udinese,De Maio S.,D,11.0,18.0,,,1.0,,,,,,6.13,6.11,-0.3,2019-20
juventus,Chiellini G.,D,19.0,3.0,1.0,,,,,,,,6.16,7.66,4.5,2019-20
torino,Millico V.,A,3.0,4.0,,,,,,,,,5.5,5.5,,2019-20
spal,Dalessandro M.,C,11.0,14.0,2.0,,,1.0,,,,,5.85,6.35,7.0,2019-20
lazio,Bastos J.,D,7.0,14.0,1.0,,4.0,,,,,,5.57,5.6,0.4,2019-20
verona,Dawidowicz P.,D,8.0,10.0,1.0,,2.0,2.0,,,,,5.95,6.1,1.5,2019-20
cagliari,Pereiro G.,T (C),16.0,7.0,1.0,,2.0,,,,,,5.71,6.14,3.0,2019-20
cagliari,Walukiewicz S.,D,5.0,14.0,,,1.0,,,,,,5.6,5.57,-0.4,2019-20
